FirstName,LastName,StudentID,Gender,Age,Department,Attendance,Midterm,Assignment,Project,Final,GPA,Grade,study_hours_per_week,total_score,participation_in_class,participation_score,quizzes_avg
Divya,Brown,STU01445,Male,19,Business,65.9,43.62,55.62,92.63,79.12,2.71,C,31.0,67.75,Medium,51,51.48
Ahmed,Verma,STU01446,Female,22,Commerce,56.83,42.23,63.53,81.53,69.9,2.57,C,26.0,64.3,High,92,55.75
Arjun,Jones,STU01447,Female,19,Commerce,79.49,73.1,72.96,72.13,46.6,2.65,C,32.3,66.2,Medium,79,64.55
Simran,Brown,STU01448,Female,19,Engineering,60.12,79.8,72.04,87.05,74.27,3.13,B,31.1,78.29,Low,45,89.87
Raj,Brown,STU01449,Female,23,Engineering,70.22,64.17,58.14,51.46,92.42,2.66,C,27.1,66.55,High,84,42.26
Deepa,Singh,STU01450,Female,21,AI & ML,72.26,72.67,43.59,56.21,73.59,2.46,C,7.4,61.52,High,100,96.19
Priya,Williams,STU01451,Male,24,Commerce,91.16,79.45,88.4,57.01,73.26,2.98,B,28.7,74.53,Medium,54,68.9
Sara,Williams,STU01452,Male,19,AI & ML,97.63,92.44,56.86,87.56,67.42,3.04,B,8.1,76.07,Low,46,41.21
Rakesh,Brown,STU01453,Female,18,Engineering,70.47,56.53,80.93,74.21,50.47,2.62,C,33.3,65.53,High,85,73.62
Priya,Kumar,STU01454,Male,20,AI & ML,56.93,98.71,41.12,58.32,43.2,2.41,C,7.3,60.34,Medium,77,55.17
Rakesh,Johnson,STU01455,Male,24,Engineering,70.95,60.84,51.31,65.09,68.96,2.46,C,29.7,61.55,Medium,66,57.23
Simran,Yadav,STU01456,Male,22,Mathematics,88.16,93.8,88.44,73.15,56.52,3.12,B,33.7,77.98,Medium,51,66.82
Ahmed,Verma,STU01457,Male,23,Commerce,82.27,98.09,90.3,87.57,99.76,3.76,A+,7.1,93.93,Medium,55,66.67
Sara,Smith,STU01458,Female,24,Physics,52.24,71.12,73.71,69.64,69.64,2.84,B,11.4,71.03,Medium,52,59.56
Kabir,Yadav,STU01459,Female,22,AI & ML,97.83,72.35,43.35,99.49,46.21,2.61,C,29.4,65.35,Medium,60,99.31
Raj,Singh,STU01460,Male,22,AI & ML,95.11,54.51,40.23,53.18,58.92,2.07,D,31.0,51.71,Medium,55,74.99
Anjali,Davis,STU01461,Female,18,Mathematics,52.5,56.05,96.85,67.83,88.44,3.09,B,20.2,77.29,Medium,64,72.73
Imran,Davis,STU01462,Female,22,Engineering,52.96,98.51,53.31,78.6,94.23,3.25,A,34.5,81.16,Low,34,49.67
Isha,Yadav,STU01463,Female,23,Mathematics,53.45,97.88,45.7,69.59,65.16,2.78,C,7.1,69.58,Low,47,64.72
Rohit,Verma,STU01464,Male,21,Physics,64.12,47.83,95.65,48.87,77.43,2.7,C,8.5,67.45,Medium,69,64.41
Raj,Johnson,STU01465,Male,18,Business,67.09,90.21,55.67,79.98,79.12,3.05,B,8.5,76.25,Medium,61,66.82
Rohit,Smith,STU01466,Male,19,Commerce,87.98,67.9,54.32,57.76,75.77,2.56,C,18.6,63.94,High,100,67.28
Ali,Williams,STU01467,Female,19,CS,59.86,70.2,51.52,77.83,72.06,2.72,C,20.0,67.9,High,96,42.19
Ahmed,Johnson,STU01468,Female,19,Commerce,71.03,49.77,78.07,89.69,37.56,2.55,C,23.5,63.77,Medium,53,77.77
Kabir,Brown,STU01469,Female,23,AI & ML,89.83,77.82,98.52,67.23,36.86,2.8,B,8.2,70.11,High,81,53.43
Isha,Kumar,STU01470,Male,19,Business,99.14,76.26,58.94,59.49,99.29,2.94,B,15.6,73.5,High,93,52.46
Arjun,Johnson,STU01471,Male,24,Engineering,88.97,43.9,79.82,95.44,50.18,2.69,C,5.9,67.33,Low,35,58.72
Anjali,Singh,STU01472,Female,19,Engineering,85.13,70.63,45.46,94.09,76.68,2.87,B,18.2,71.72,Low,39,87.06
Aman,Singh,STU01473,Female,19,AI & ML,50.57,96.99,42.76,44.88,61.97,2.47,C,6.5,61.65,High,95,81.76
Priya,Smith,STU01474,Male,20,Mathematics,62.59,62.74,81.08,66.94,85.37,2.96,B,27.3,74.03,High,80,60.1
Meera,Kumar,STU01475,Female,20,Commerce,53.12,94.44,65.2,77.64,40.6,2.78,C,29.7,69.47,Medium,65,84.14
Isha,Singh,STU01476,Female,24,AI & ML,66.77,51.55,41.72,82.04,99.69,2.75,C,21.5,68.75,Low,46,51.69
Ahmed,Jones,STU01477,Female,19,Commerce,97.78,98.7,89.02,48.18,97.84,3.34,A,24.1,83.44,Medium,56,67.07
Deepa,Smith,STU01478,Female,24,Commerce,51.37,59.24,88.7,87.77,69.9,3.06,B,21.1,76.4,High,97,95.85
Rahul,Smith,STU01479,Female,24,Mathematics,79.34,70.4,50.11,80.82,89.06,2.9,B,26.3,72.6,Medium,71,89.15
Raj,Smith,STU01480,Female,19,Business,53.02,70.52,67.38,80.27,95.29,3.13,B,34.1,78.36,Low,23,90.67
Kabir,Davis,STU01481,Female,23,Mathematics,83.22,39.18,66.61,98.57,45.41,2.5,C,24.7,62.44,Low,22,50.08
Liam,Jones,STU01482,Male,22,Commerce,54.63,95.74,81.48,97.29,93.74,3.68,A+,26.4,92.06,Medium,77,45.34
Maria,Sharma,STU01483,Female,18,CS,85.9,59.45,77.41,40.47,83.17,2.61,C,9.7,65.12,Medium,70,40.49
Omar,Patel,STU01484,Male,21,Commerce,77.92,50.3,97.68,66.5,93.4,3.08,B,25.0,76.97,Low,35,55.47
Divya,Brown,STU01485,Female,21,Commerce,75.83,77.16,77.79,83.83,83.97,3.23,A,31.6,80.69,High,84,40.86
Raj,Verma,STU01486,Female,19,Physics,56.61,64.76,68.9,90.75,88.12,3.13,B,14.1,78.13,High,95,83.83
Karan,Yadav,STU01487,Female,21,Business,69.53,64.62,60.59,54.57,57.45,2.37,D,5.9,59.31,Medium,72,91.78
Omar,Williams,STU01488,Male,18,Commerce,59,79.23,69.59,55.57,65.26,2.7,C,5.0,67.41,High,84,84.62
Ahmed,Johnson,STU01489,Male,19,Physics,65.67,45.35,85.14,89.19,91.06,3.11,B,12.5,77.69,Medium,57,64.38
Simran,Verma,STU01490,Female,18,AI & ML,88.52,74.21,91.61,73.53,92.1,3.31,A,12.4,82.86,High,91,57.61
Simran,Yadav,STU01491,Male,24,Business,91.86,84.77,77.13,42.44,51.97,2.56,C,5.8,64.08,Medium,55,60.2
Liam,Sharma,STU01492,Female,24,Commerce,87.09,95.88,49.37,60.16,66.75,2.72,C,18.9,68.04,Low,40,89.08
Meera,Williams,STU01493,Male,19,Commerce,58.19,90.2,49.91,67.8,43.64,2.52,C,31.6,62.89,High,99,86.38
Sara,Brown,STU01494,Female,21,Mathematics,83.23,94.49,78.28,93.78,57.1,3.24,A,25.7,80.91,High,98,44.24
Rahul,Jones,STU01495,Female,24,Engineering,88.87,40.58,98.83,74.82,52.49,2.67,C,23.5,66.68,Medium,73,85.29
Meera,Williams,STU01496,Female,18,Mathematics,64.48,48.92,83.22,85.31,63.78,2.81,B,23.8,70.31,Medium,78,81.34
Rakesh,Davis,STU01497,Male,21,AI & ML,77.39,70.14,74.18,98.38,43.88,2.87,B,14.0,71.64,Low,31,68.15
Kabir,Yadav,STU01498,Female,19,Commerce,81.31,57.37,95.24,60.78,76.36,2.9,B,5.4,72.44,Low,43,56.23
Simran,Patel,STU01499,Female,24,Mathematics,95.39,69.26,54.73,41.85,91.1,2.57,C,33.2,64.23,Medium,59,74.68
Ravi,Jones,STU01500,Male,20,Physics,80.82,57.69,48.41,58.39,76.94,2.41,C,27.4,60.36,Medium,64,86.45
Sneha,Williams,STU01501,Female,20,Engineering,59.91,44.32,90.71,42.05,51.43,2.29,D,17.2,57.13,High,95,92.95
Sneha,Johnson,STU01502,Female,24,Mathematics,58.77,65.96,40.87,79.67,73.42,2.6,C,10.1,64.98,Low,21,80.99
Pooja,Verma,STU01503,Female,24,Engineering,78.5,73.5,68.34,44,76.6,2.62,C,24.1,65.61,Medium,59,45.43
Meera,Davis,STU01504,Female,18,Commerce,94.09,97.21,75.87,47.98,40.27,2.61,C,27.3,65.33,Low,25,45.14
Arjun,Yadav,STU01505,Female,19,Engineering,90.88,57.32,94.1,89.88,93.26,3.35,A,25.1,83.64,Medium,70,52.33
Ahmed,Yadav,STU01506,Female,19,Physics,51.87,98.53,41.08,93.03,44.13,2.77,C,31.2,69.19,Low,26,54.66
Pooja,Williams,STU01507,Male,23,AI & ML,99.51,62.68,67.8,94.86,64.02,2.89,B,31.5,72.34,Medium,51,46.73
Omar,Yadav,STU01508,Male,22,AI & ML,88.3,83.12,54.12,65.63,96.03,2.99,B,9.7,74.72,Medium,64,44.29
Maria,Sharma,STU01509,Female,21,AI & ML,95.15,40.24,46.1,68.82,37.2,1.92,F,6.2,48.09,High,92,99.32
Emma,Sharma,STU01510,Male,19,AI & ML,59.73,77.85,95,86.05,72.44,3.31,A,29.0,82.83,Medium,75,79.45
Ali,Kumar,STU01511,Female,21,Commerce,64.02,60.49,90.12,95.63,60.02,3.06,B,25.2,76.56,Medium,52,42.68
Imran,Johnson,STU01512,Male,19,Business,97.82,90.7,63.46,73.76,47.77,2.76,C,9.3,68.92,Medium,50,89.48
Ahmed,Kumar,STU01513,Female,18,AI & ML,88.38,84.94,69.87,57.6,35.22,2.48,C,20.5,61.91,Low,44,57.57
Karan,Kumar,STU01514,Female,21,AI & ML,90.79,87.22,59.42,46.8,99.84,2.93,B,28.7,73.32,High,93,62.59
Kabir,Smith,STU01515,Male,20,CS,65.88,86.44,68.89,84.98,92.66,3.33,A,31.8,83.24,Low,28,81.76
Liam,Verma,STU01516,Male,23,Engineering,76.51,88.24,45.42,95.88,42.39,2.72,C,33.2,67.98,Medium,52,64.56
Karan,Sharma,STU01517,Female,21,Commerce,72.13,74.67,63.26,85.63,96.06,3.2,B,16.9,79.91,High,90,91.42
Ravi,Patel,STU01518,Female,20,AI & ML,92.35,76.35,81.22,75.78,37.35,2.71,C,33.1,67.67,Medium,64,99.88
Raj,Patel,STU01519,Male,22,Commerce,96.65,79.38,74.56,50.16,63.53,2.68,C,31.2,66.91,Medium,57,53.07
Pooja,Sharma,STU01520,Male,23,CS,54.32,96.76,48.48,75,84.76,3.05,B,14.5,76.25,Medium,55,88.9
Sneha,Verma,STU01521,Female,24,AI & ML,73.9,87.72,55.74,43.87,98.53,2.86,B,19.7,71.47,Medium,50,51.34
Ahmed,Johnson,STU01522,Male,18,Mathematics,64.85,77.05,94.82,81.77,96.83,3.5,A,13.4,87.62,Medium,60,64.45
Pooja,Singh,STU01523,Female,23,Mathematics,51.91,74.69,97.9,88.24,89.39,3.5,A,24.1,87.55,Low,42,57.95
Liam,Johnson,STU01524,Female,23,Commerce,65.85,77.26,99.02,85.74,70.33,3.32,A,34.4,83.09,Medium,63,56.98
Omar,Singh,STU01525,Male,23,Mathematics,97.8,84.08,86.36,62.38,70.75,3.04,B,13.5,75.89,Medium,73,60.45
Deepa,Patel,STU01526,Female,18,Engineering,88.06,77.82,62.33,55.35,37.85,2.33,D,8.4,58.34,Low,32,76.84
Ravi,Brown,STU01527,Female,20,Commerce,84.43,91.38,63.87,86.87,53.24,2.95,B,21.4,73.84,Low,35,41.63
Sneha,Williams,STU01528,Female,21,CS,54.81,59.43,47.11,55.43,66.14,2.28,D,14.2,57.03,Low,34,55.9
Emma,Yadav,STU01529,Male,24,Business,92.93,86.15,45.39,99.58,86.5,3.18,B,7.3,79.41,High,96,47.05
Emma,Johnson,STU01530,Male,18,Mathematics,73.14,44.23,93.12,69.94,50.59,2.58,C,32.1,64.47,High,100,71.29
Kabir,Singh,STU01531,Female,23,Physics,67.54,46.04,87.16,57.25,38.56,2.29,D,33.6,57.25,Medium,71,75.91
Deepa,Johnson,STU01532,Male,18,Mathematics,74.47,70.67,51.13,51.49,73.73,2.47,C,30.6,61.76,Medium,56,58.78
Sara,Jones,STU01533,Male,24,Business,94.1,96.61,71.2,75.14,39.62,2.83,B,9.9,70.64,Low,27,71.78
Divya,Brown,STU01534,Male,18,AI & ML,97.33,85.62,65.18,86.56,49.48,2.87,B,14.4,71.71,High,85,87.28
Aman,Smith,STU01535,Female,21,Business,53.1,99.91,58.72,82.42,78.41,3.19,B,19.4,79.87,Medium,63,93.41
Rahul,Yadav,STU01536,Male,21,Physics,76.52,41.08,63.78,62.4,94.53,2.62,C,25.6,65.45,High,87,86.12
Isha,Kumar,STU01537,Male,18,CS,95.44,37.78,50.21,98.28,42.91,2.29,D,21.4,57.3,Medium,75,46.33
Rohit,Verma,STU01538,Female,20,Mathematics,72.11,90.15,98.07,56.73,85.32,3.3,A,9.8,82.57,High,96,41.62
Divya,Johnson,STU01539,Female,24,AI & ML,95.54,42.16,71.42,83.3,96.93,2.94,B,30.1,73.45,High,97,57.54
Arjun,Smith,STU01540,Male,21,Physics,88.41,75.29,74.46,98.56,85.94,3.34,A,29.3,83.56,High,98,59.11
Emma,Brown,STU01541,Female,20,Commerce,88.9,67.47,75.72,70.53,90.75,3.04,B,7.6,76.12,Medium,64,73.47
Imran,Johnson,STU01542,Female,21,Commerce,78.51,63.62,81.43,55.26,95.08,2.95,B,14.4,73.85,Medium,59,52.22
Simran,Verma,STU01543,Male,21,CS,90.5,83.05,41.43,63.48,99.42,2.87,B,7.5,71.84,High,98,93.89
Priya,Jones,STU01544,Female,24,Engineering,70.39,40.94,85.33,73.24,81.92,2.81,B,18.2,70.36,Medium,70,57.87
Ali,Yadav,STU01545,Female,18,CS,82.62,48.47,82.15,76.29,50.94,2.58,C,17.2,64.46,Medium,76,90.52
Maria,Jones,STU01546,Female,18,AI & ML,89.1,86.8,98.43,75.33,65.84,3.26,A,24.0,81.6,Medium,68,65.75
Isha,Patel,STU01547,Male,20,Commerce,53.79,42.98,52.19,78.04,70.32,2.44,C,17.3,60.88,High,84,80.25
Liam,Brown,STU01548,Male,19,CS,55.6,92.64,99.49,66.39,43.85,3.02,B,15.6,75.59,High,85,88.4
Aman,Davis,STU01549,Male,20,Commerce,84.71,91.83,57.89,64.47,45.91,2.6,C,10.7,65.03,Medium,54,66.34
Rakesh,Verma,STU01550,Female,24,Engineering,61.91,85.26,43.53,98.91,97.64,3.25,A,27.5,81.34,Medium,55,44.55
Arjun,Kumar,STU01551,Male,22,Physics,55.5,55.06,86.71,79.03,36.68,2.57,C,15.0,64.37,Medium,55,69.82
Priya,Davis,STU01552,Male,24,Physics,69.62,90.22,76.89,81.57,97.23,3.46,A,30.7,86.48,High,82,75.56
Isha,Verma,STU01553,Male,23,Engineering,79.74,88.94,47.38,94.84,45.82,2.77,C,31.0,69.25,High,97,54.67
Aman,Singh,STU01554,Male,18,Physics,79.6,39.21,82.95,42.02,86.35,2.51,C,16.1,62.63,Medium,59,96.72
Karan,Patel,STU01555,Male,21,CS,97.21,83.54,43.28,41.22,76.01,2.44,C,28.2,61.01,Low,28,70.32
Sara,Singh,STU01556,Male,23,Engineering,94.33,74.57,70.29,88.1,92.77,3.26,A,16.5,81.43,Low,25,53.06
Divya,Sharma,STU01557,Female,18,Engineering,74.64,58.64,90.8,88.91,51.2,2.9,B,15.2,72.39,High,83,45.73
Priya,Brown,STU01558,Female,23,Commerce,71.85,56.78,46.15,60.35,51.52,2.15,D,28.8,53.7,Medium,76,67.13
John,Johnson,STU01559,Male,21,CS,53.58,79.76,56.52,61.39,47.6,2.45,C,31.9,61.32,High,99,91.2
Isha,Kumar,STU01560,Female,19,AI & ML,78.85,69.45,80.12,90.59,85.85,3.26,A,22.2,81.5,Low,38,55.26
Rohit,Singh,STU01561,Male,20,Commerce,67.49,36.63,44.21,53.44,91.36,2.26,D,6.4,56.41,Low,39,78.58
Meera,Davis,STU01562,Female,20,Commerce,80,72.53,41.7,98.27,56.39,2.69,C,14.3,67.22,High,99,72.32
Ahmed,Yadav,STU01563,Female,19,CS,58.59,41.51,52.49,99.23,61.21,2.54,C,17.2,63.61,Medium,75,76.99
Simran,Johnson,STU01564,Female,24,AI & ML,70.51,60.95,42.01,50.48,64.5,2.18,D,25.8,54.48,Low,47,90.93
Maria,Smith,STU01565,Male,23,Business,80.46,83.93,44.49,95.8,87.16,3.11,B,5.2,77.84,High,86,41.98
Karan,Brown,STU01566,Male,21,AI & ML,60.76,80.09,56.24,42.34,49.01,2.28,D,21.7,56.92,Medium,54,95.29
John,Sharma,STU01567,Male,18,Mathematics,83.16,39.78,68.05,77.74,85.33,2.71,C,28.6,67.72,Medium,57,72.31
Rakesh,Davis,STU01568,Male,18,Engineering,73.77,58.06,75.81,52.64,93.31,2.8,C,24.3,69.95,Medium,58,91.24
Omar,Smith,STU01569,Female,23,Physics,51.38,73.93,91.66,59.8,47.43,2.73,C,19.6,68.2,Medium,75,61.54
Imran,Verma,STU01570,Male,19,AI & ML,66.15,51.92,62.08,76.67,98.72,2.89,B,26.4,72.35,Low,20,49.08
Arjun,Jones,STU01571,Female,23,Engineering,85.59,58.94,59.05,50.29,72.23,2.4,C,27.9,60.13,Medium,78,67.0
Simran,Patel,STU01572,Male,23,Commerce,66.35,70.4,87.71,55.75,78.98,2.93,B,17.7,73.21,High,89,52.72
Ahmed,Jones,STU01573,Male,22,Physics,90.15,89.65,92.65,82.64,69.7,3.35,A,18.7,83.66,Low,21,50.74
Kabir,Davis,STU01574,Male,22,AI & ML,71.27,37.46,73.59,40.83,59.03,2.11,D,20.9,52.73,Low,43,43.29
Rakesh,Jones,STU01575,Female,19,Physics,50.24,93.97,71.88,95,43.18,3.04,B,27.0,76.01,Medium,69,41.06
Emma,Yadav,STU01576,Female,24,Commerce,61.37,88.68,69.94,59.48,84.05,3.02,B,22.3,75.54,High,89,65.14
Raj,Brown,STU01577,Female,21,AI & ML,80.35,56.99,89.42,53.28,53.75,2.53,C,32.0,63.36,Low,22,91.48
Arjun,Jones,STU01578,Male,23,Engineering,74.57,42.29,75.53,56.95,81.74,2.57,C,19.0,64.13,Low,46,94.04
Omar,Smith,STU01579,Male,20,Business,85.77,75.45,54.24,69.52,99.35,2.99,B,16.6,74.64,Medium,55,54.48
Kabir,Verma,STU01580,Male,21,Physics,82.71,92.56,86.71,86.39,46.42,3.12,B,23.7,78.02,High,82,91.43
Pooja,Jones,STU01581,Male,22,Commerce,90.18,85.56,92.06,90.42,80.01,3.48,A,7.6,87.01,Medium,72,66.9
Ahmed,Patel,STU01582,Female,23,AI & ML,78.29,58.07,93.27,99.65,36.24,2.87,B,20.1,71.81,High,99,51.87
Neha,Verma,STU01583,Male,23,Commerce,61.8,48.76,43.63,83.09,90.74,2.66,C,17.9,66.56,Low,42,55.84
Emma,Smith,STU01584,Male,21,Physics,66.69,48.7,64.24,72.02,58.85,2.44,C,33.4,60.95,Medium,52,48.48
John,Patel,STU01585,Male,23,Mathematics,52.41,81.13,55.6,72.72,84.23,2.94,B,32.7,73.42,Medium,76,47.45
Ravi,Jones,STU01586,Female,24,Business,98.17,69.13,99.67,53.91,66.05,2.89,B,26.1,72.19,Medium,77,69.08
Rohit,Davis,STU01587,Female,23,Engineering,82.98,87.29,60.44,45.07,61.39,2.54,C,21.3,63.55,Medium,68,98.93
Ravi,Johnson,STU01588,Female,24,Mathematics,96.16,51,45.44,58.82,91.47,2.47,C,17.5,61.68,Medium,74,44.95
Aman,Smith,STU01589,Female,18,Physics,69.12,99.03,48.36,87.56,81.99,3.17,B,24.3,79.23,High,96,43.82
Aman,Smith,STU01590,Male,23,Engineering,86.87,56.28,61.64,48.35,90.72,2.57,C,8.8,64.25,Medium,68,44.0
Omar,Williams,STU01591,Male,22,CS,62.87,47.01,87.17,59.72,66.29,2.6,C,13.7,65.05,Medium,64,62.28
Imran,Verma,STU01592,Male,21,AI & ML,88.46,72.5,73.03,85.05,47.43,2.78,C,13.3,69.5,High,84,42.14
Pooja,Smith,STU01593,Female,18,CS,77.2,54.07,98.91,64.5,78.89,2.96,B,19.5,74.09,High,90,87.44
Priya,Williams,STU01594,Male,19,Business,80.93,36.02,75.86,69.84,52.55,2.34,D,25.8,58.57,Medium,72,44.71
Simran,Johnson,STU01595,Female,20,CS,52.39,46.85,74.16,64.94,64.82,2.51,C,29.4,62.69,Low,22,47.24
Divya,Williams,STU01596,Female,23,CS,94.67,46.45,59.79,44.56,67.46,2.18,D,7.0,54.56,Medium,56,56.6
Pooja,Yadav,STU01597,Male,23,Physics,91.9,79.2,57.84,84.85,39.56,2.61,C,9.1,65.36,Medium,55,63.16
Simran,Sharma,STU01598,Female,22,AI & ML,93.74,97.35,92.41,74.84,69.25,3.34,A,9.6,83.46,High,87,71.35
Omar,Verma,STU01599,Female,23,Business,94.73,90.85,42.76,74.46,97.43,3.06,B,5.4,76.38,Medium,54,95.47
Rohit,Singh,STU01600,Male,21,CS,86.36,91.45,81.32,72.55,62.46,3.08,B,7.5,76.94,Low,27,80.99
Omar,Davis,STU01601,Male,24,Business,66.61,78.31,84.66,64.34,67.19,2.95,B,10.6,73.62,Medium,68,60.56
Rakesh,Yadav,STU01602,Male,18,Business,64.27,86.83,91.48,79.78,64.46,3.23,A,17.7,80.64,Medium,55,42.11
Raj,Johnson,STU01603,Male,19,Engineering,98.13,67.46,53.45,69.17,86.78,2.77,C,32.1,69.22,Medium,70,98.66
Simran,Williams,STU01604,Female,18,CS,75.67,40.92,79.43,53.73,91.53,2.66,C,5.8,66.4,High,97,99.67
Meera,Yadav,STU01605,Male,20,AI & ML,87.02,38.7,92.42,95.87,37.44,2.64,C,26.3,66.11,Medium,70,85.58
Ravi,Singh,STU01606,Male,22,Commerce,93.46,69.62,43.09,55.25,54.17,2.22,D,12.5,55.53,High,88,78.44
Rohit,Davis,STU01607,Male,19,AI & ML,59.15,57.8,46.87,40.01,92.04,2.37,D,18.3,59.18,High,96,80.82
Isha,Williams,STU01608,Male,24,Engineering,58.86,64.74,81.89,95.76,66.98,3.09,B,34.2,77.34,Medium,71,52.7
Isha,Kumar,STU01609,Male,19,AI & ML,64.39,49.6,55.73,86.13,97.82,2.89,B,11.4,72.32,Medium,74,88.75
Pooja,Patel,STU01610,Male,20,CS,53.21,39.74,80.54,42.96,78.27,2.42,C,13.8,60.38,High,83,63.54
Imran,Davis,STU01611,Female,23,Commerce,74.36,65.12,60.58,86.73,75.93,2.88,B,29.4,72.09,Medium,73,70.91
Arjun,Davis,STU01612,Female,20,AI & ML,91.86,88.25,69.45,53.58,69.22,2.81,B,31.7,70.12,Medium,57,72.74
Ahmed,Williams,STU01613,Male,21,AI & ML,68.01,54.04,49.8,98.34,47.12,2.49,C,10.1,62.33,Medium,71,87.78
Sara,Smith,STU01614,Male,23,Commerce,78.18,75.7,91.52,96.31,63.02,3.27,A,27.4,81.64,High,87,55.25
Anjali,Williams,STU01615,Male,18,Mathematics,51.33,68.77,48.41,88.39,36.05,2.42,C,13.9,60.41,Medium,57,61.11
Ali,Sharma,STU01616,Female,20,AI & ML,51.03,56,65.87,92.99,58.69,2.74,C,12.3,68.39,Medium,74,47.98
Omar,Williams,STU01617,Male,22,Physics,98.46,84.31,48.37,69.77,59.26,2.62,C,15.5,65.43,Medium,54,97.99
Sara,Davis,STU01618,Female,19,Engineering,79.14,96.78,86.27,49.9,66.07,2.99,B,17.4,74.75,Medium,66,88.86
Simran,Jones,STU01619,Male,18,Commerce,72.22,58.25,69.25,80.19,96.79,3.04,B,15.6,76.12,Medium,71,93.8
Omar,Sharma,STU01620,Female,24,AI & ML,86.9,78.05,82.54,47.07,76.48,2.84,B,5.9,71.03,Medium,78,40.02
Karan,Jones,STU01621,Female,20,Commerce,89.98,61.57,41.01,59.51,50.99,2.13,D,24.1,53.27,Medium,68,48.0
Anjali,Brown,STU01622,Male,19,Engineering,97.14,80.48,84.62,78.23,65.18,3.09,B,11.3,77.13,Medium,74,56.01
John,Jones,STU01623,Female,18,Business,51.17,83.63,62.8,41.77,83.48,2.72,C,24.9,67.92,Medium,65,76.75
Maria,Brown,STU01624,Female,24,Engineering,68.04,74.39,47.03,46.23,54.11,2.22,D,33.8,55.44,Medium,70,80.54
Deepa,Verma,STU01625,Male,23,AI & ML,71.83,37.67,59.41,53.14,62.33,2.13,D,31.6,53.14,Medium,71,99.2
Raj,Smith,STU01626,Female,24,CS,64.98,47.7,97.77,76.83,95.59,3.18,B,12.6,79.47,Low,48,92.96
Rahul,Smith,STU01627,Female,19,Physics,75.63,93.68,83.61,92.1,52.9,3.22,A,28.3,80.57,Low,26,99.89
Imran,Davis,STU01628,Female,19,AI & ML,52.77,94.97,48.71,91.31,80.37,3.15,B,25.0,78.84,Medium,69,52.51
Imran,Jones,STU01629,Female,24,Engineering,62.32,69.25,75.07,50.51,36.28,2.31,D,32.2,57.78,High,93,43.77
John,Davis,STU01630,Female,18,Mathematics,55.79,87.33,40.6,88.06,60.14,2.76,C,31.3,69.03,Medium,62,86.97
Rahul,Verma,STU01631,Male,20,Commerce,63,39.96,71.53,52.54,43.9,2.08,D,6.1,51.98,High,94,89.08
Aman,Jones,STU01632,Female,23,CS,73.82,99.11,56.66,58.65,62.33,2.77,C,9.3,69.19,Medium,66,78.76
Aman,Verma,STU01633,Female,20,Business,83.17,54.79,88.87,74.61,83.88,3.02,B,13.4,75.54,Medium,72,98.32
Deepa,Kumar,STU01634,Male,18,AI & ML,92.73,53.86,50.66,57.6,39.8,2.02,D,12.4,50.48,Low,27,70.43
Omar,Sharma,STU01635,Male,19,Commerce,81.02,40.36,76.66,44.88,82.51,2.44,C,34.4,61.1,Medium,65,85.82
Isha,Patel,STU01636,Female,20,AI & ML,62.14,99.67,45.04,90.45,79.41,3.15,B,23.7,78.64,Low,35,72.16
Isha,Kumar,STU01637,Female,20,Mathematics,84.19,59.17,75.71,73.32,38.16,2.46,C,33.6,61.59,Medium,77,42.51
Neha,Sharma,STU01638,Female,23,AI & ML,76.98,56.95,86.95,83.92,44.02,2.72,C,16.7,67.96,Medium,73,40.1
Sara,Patel,STU01639,Female,22,Engineering,93.49,35.07,64.3,55.55,47.56,2.02,D,31.1,50.62,Medium,66,71.62
Rakesh,Yadav,STU01640,Male,19,CS,89.9,42.4,58.04,85.71,83.23,2.69,C,10.1,67.34,Medium,53,59.11
Rakesh,Kumar,STU01641,Female,18,Engineering,88.75,56.11,65.85,77.32,99.15,2.98,B,5.8,74.61,Medium,57,83.69
Aman,Brown,STU01642,Female,23,Commerce,71.07,37.86,99.72,58.98,85.1,2.82,B,15.6,70.41,Medium,51,93.67
Raj,Patel,STU01643,Female,20,Mathematics,81.77,83.02,50.17,42.55,65.01,2.41,C,16.6,60.19,Medium,73,89.36
Ravi,Kumar,STU01644,Female,24,Commerce,89.62,49.25,75.97,50.1,42.78,2.18,D,19.3,54.52,Medium,51,63.28
Imran,Williams,STU01645,Male,22,Engineering,69.13,59.49,96.85,40.24,35.08,2.32,D,11.8,57.92,High,91,57.81
Emma,Kumar,STU01646,Male,18,Business,56.45,51.48,64.08,86.17,49.65,2.51,C,29.0,62.85,Low,46,62.72
Liam,Yadav,STU01647,Male,23,CS,68.49,51.09,48.1,98.51,42.07,2.4,D,6.5,59.94,Medium,61,55.27
Karan,Smith,STU01648,Male,23,Engineering,98.73,41.61,81.31,43.69,76.02,2.43,C,28.2,60.66,High,93,99.61
Rakesh,Patel,STU01649,Female,22,Physics,97.98,80.57,54.35,49.99,37.05,2.22,D,8.7,55.49,Low,48,86.36
Kabir,Williams,STU01650,Female,22,Mathematics,54.65,71.98,53.9,63.41,76.97,2.66,C,21.5,66.56,Medium,76,89.92
Kabir,Smith,STU01651,Female,24,CS,82.33,60.88,94.2,51.97,94.14,3.01,B,14.4,75.3,High,82,88.98
Neha,Sharma,STU01652,Male,21,CS,81.36,96.28,42.84,45.87,36.99,2.22,D,34.4,55.5,Medium,64,80.28
